id,label
110499,0
101319,0
108883,0
100925,0
110852,0
109538,0
108874,0
100082,0
110470,0
109725,0
103874,0
108214,1
102266,1
112940,0
102318,1
102162,1
106268,1
101888,0
108397,1
100901,1
106980,1
106283,0
110891,0
103818,0
111938,0
106200,0
109116,1
107311,1
102213,1
112378,1
110819,1
112456,0
110846,0
104540,0
110136,0
110718,0
103530,0
101797,1
110143,0
102987,1
108970,0
102506,1
109392,1
100695,0
103336,0
110388,1
101995,0
109812,0
107717,0
106342,0
112201,1
104207,0
105057,0
100110,1
103594,0
110747,0
101456,1
108880,0
103008,1
112871,1
101314,1
110408,1
110125,1
106336,0
104844,1
101023,0
110072,0
107032,0
105883,0
101843,0
108219,0
110919,1
104064,1
103193,0
100828,0
103003,1
101164,0
100528,0
103058,0
105311,0
103760,0
106328,0
102560,0
112713,0
110644,1
100809,0
110002,1
100998,1
107593,1
110869,0
109575,1
104607,0
100909,1
106267,1
112285,0
109520,0
100407,1
101775,1
100014,0
103061,0
112266,0
112412,0
109710,0
110987,0
109718,0
104144,1
103589,0
102550,0
106958,0
103499,1
111890,0
109223,0
106925,0
108481,0
112029,0
108155,0
105843,1
101345,0
107741,1
102728,0
100850,0
100504,1
105346,0
109888,1
108400,1
104394,0
101142,1
102330,0
108077,1
101814,1
102177,0
109238,0
100574,1
109178,0
106081,0
106866,0
109104,1
105642,0
100929,1
101772,1
103053,1
102481,0
107776,0
105950,1
103950,0
103100,0
109152,0
107769,0
103549,1
104228,1
107568,0
110815,1
111073,1
103370,1
109466,1
111769,0
112206,0
107069,1
105031,1
111235,1
103743,1
104359,1
111945,0
108791,0
109643,0
101520,1
112325,0
101469,0
108466,0
103537,0
108822,1
102741,1
101743,0
104771,1
100372,0
102904,1
106915,1
102556,1
101691,1
108082,1
110304,0
108477,0
104413,0
107838,1
105236,0
104888,0
108660,0
101097,0
100898,1
109257,1
111778,0
110487,0
109544,0
103107,1
107387,1
110344,0
111476,0
105187,0
107940,1
110249,1
104546,0
104241,0
109098,0
112880,0
103990,0
104564,1
109692,0
100304,0
101494,1
101688,1
111661,1
101406,1
112311,1
103768,0
108906,0
106001,1
107261,1
110949,0
111273,0
100640,1
107352,1
110660,1
106307,0
103154,0
111774,0
110081,1
112079,1
104736,1
104177,1
105138,1
103292,1
100016,1
111430,0
104809,0
103027,0
107704,0
110441,1
107177,0
109366,1
111095,0
100937,1
110243,1
104071,0
102230,1
100006,0
106089,0
100475,1
103025,0
105558,1
102373,0
102413,1
110502,1
100718,0
111564,1
104578,0
102524,1
105505,1
105822,0
107768,0
104746,1
103572,0
111349,0
105990,0
101898,0
111599,0
105625,0
110983,0
101698,1
102444,1
106942,1
112167,1
110343,0
102487,1
102324,0
101909,0
109097,1
112284,1
106728,1
100520,0
106520,1
111748,0
109923,1
112841,0
100904,0
102151,0
109478,1
106786,1
111885,0
106019,1
101001,1
104347,0
107252,1
101006,0
107273,1
106234,0
105976,0
110358,0
104906,0
112316,1
108597,0
100961,0
107412,1
102753,1
102348,0
111274,1
106296,0
110746,0
112058,1
103325,0
109233,0
103252,0
102264,0
103083,1
102659,1
100786,0
109234,0
105808,1
111093,1
108148,0
101394,1
110584,1
109972,0
110836,0
100721,0
110938,0
104584,0
105383,0
106788,0
106155,1
112908,0
102150,1
105203,0
101715,1
112455,1
108842,1
110082,0
112942,1
100705,0
112726,0
106994,1
101067,0
107180,0
106284,0
103534,1
102845,1
111677,0
112109,0
102912,0
105550,1
106888,0
108368,0
105278,1
107129,0
109092,1
108075,0
112502,1
108458,0
104122,1
100248,1
107418,0
104573,0
110435,1
104076,1
100580,0
103249,0
107921,0
111163,1
104534,0
111762,1
101005,0
112380,0
104189,0
111382,1
111360,1
111491,0
104634,0
100019,0
108508,1
101208,0
100406,0
109405,0
110400,0
110944,0
109839,1
109048,1
108306,1
106725,1
104821,0
108233,0
108501,0
112805,0
109357,0
101950,0
109081,0
104895,1
107504,0
105095,1
103218,0
109781,0
104440,1
102486,1
105292,1
109455,0
107573,0
108675,1
107912,1
101256,0
108732,0
105884,1
105742,0
110252,0
101160,0
102337,1
104059,0
104964,0
109072,0
107310,0
101555,1
112589,0
107524,0
105359,1
101799,0
106124,0
109952,1
103740,0
111591,0
106796,1
108702,0
102925,1
109750,1
101117,0
110173,0
104216,0
108034,0
111464,1
101690,1
102502,1
104017,0
104969,0
106563,1
102708,0
104315,0
107949,0
101783,1
112633,1
109523,0
101952,1
104913,1
106127,0
109918,1
103597,1
100626,1
110532,1
111904,0
104702,0
112522,0
103890,0
111598,0
101615,0
104742,0
102436,1
109227,1
106660,0
104631,0
101201,0
101200,1
100783,1
105728,0
104586,1
112391,0
100594,1
106204,0
109619,1
111640,1
110300,0
100675,0
105688,0
103735,0
110467,0
110687,1
107239,1
106822,1
100222,0
100932,0
112107,1
107176,1
110279,0
107633,1
100726,1
100441,0
107750,1
109585,1
109177,1
111735,1
110367,1
111448,0
105273,1
100521,1
107166,0
101999,0
107806,1
107204,0
111201,1
106867,1
102427,0
101807,1
101717,1
101798,0
111477,0
102644,1
102501,0
108035,1
111521,0
101537,1
108356,0
100286,1
107242,0
111714,0
105167,1
110132,1
111089,0
103455,1
108129,1
108659,1
105818,0
112405,0
107955,0
102699,0
109322,1
106530,1
103531,1
106449,1
108177,1
112243,0
111503,1
112610,0
109879,0
101320,1
105521,1
106854,1
103015,0
102806,1
111549,1
109175,0
106923,0
110101,0
105515,1
106881,1
108681,1
103213,1
112889,0
101859,0
109701,1
107681,0
106195,1
109674,0
103005,0
111013,1
106148,1
101946,1
107392,1
106944,1
111628,0
112535,1
102976,0
111976,0
108753,1
109078,0
111849,0
111126,1
103276,1
110392,1
112099,1
101135,1
106852,1
102954,0
104156,0
107929,1
106258,1
103923,0
102588,1
111871,1
107857,0
112687,0
103316,1
107245,1
109059,1
101446,0
110753,0
103126,1
110941,1
106300,1
104317,0
108102,1
100351,1
103974,0
112652,1
109992,1
104857,1
101420,0
108473,0
109149,0
106158,1
103237,1
110699,0
110134,0
106553,0
112863,1
103436,1
100403,1
101302,0
112354,0
105699,1
111914,1
110784,1
112817,1
101530,0
112654,1
105635,0
103037,0
109827,1
106476,0
110698,1
104222,0
103411,1
107340,1
106772,1
101879,0
107376,0
111034,1
103658,1
107832,0
101730,0
100984,0
109734,0
105251,0
107827,0
102762,1
104530,1
111892,0
112292,1
102390,1
102251,1
109602,1
104277,1
102924,1
111128,1
111889,1
109052,0
106299,1
101091,1
101192,1
106777,0
103679,1
103859,0
105864,0
103980,1
105640,1
100220,1
109535,1
101607,1
108843,0
105212,1
102066,0
110385,1
106535,0
106798,0
108764,1
111788,1
100193,0
106374,0
105917,1
101794,1
100871,1
103926,0
101460,0
101428,0
108092,1
109752,1
109468,0
110297,0
112894,1
107471,1
101848,0
103868,1
111250,1
109819,0
103278,0
110381,1
